scan_id,filename,sequence_id,station,year,month,day,hour,minute,second,minutes_from_sunrise,x,y,r
9660,KDOX20100901_095831_V04.gz,352,KDOX,2010,9,1,9,58,27,-33,43896.5,48469,3118.4421405199
9661,KDOX20100901_100415_V04.gz,352,KDOX,2010,9,1,10,4,11,-27,43092.5,50478.5,4394.5
9662,KDOX20100901_100959_V04.gz,352,KDOX,2010,9,1,10,9,56,-21,44499,50277.5,6593.273280198
9663,KDOX20100901_101545_V04.gz,352,KDOX,2010,9,1,10,15,40,-15,45101.5,49072,9233.2795322875
9659,KDOX20100901_095247_V04.gz,353,KDOX,2010,9,1,9,52,43,-38,-61919.5,60498,1757.8336790025
9660,KDOX20100901_095831_V04.gz,353,KDOX,2010,9,1,9,58,27,-33,-61517.5,59493.5,2690.9957507918
9661,KDOX20100901_100415_V04.gz,353,KDOX,2010,9,1,10,4,11,-27,-61517.5,60900,4155.6796315905
9662,KDOX20100901_100959_V04.gz,353,KDOX,2010,9,1,10,9,56,-21,-61517.5,60900,5101.547885238
9663,KDOX20100901_101545_V04.gz,353,KDOX,2010,9,1,10,15,40,-15,-58302.5,58890.5,6714.712881528
9664,KDOX20100901_102129_V04.gz,353,KDOX,2010,9,1,10,21,26,-10,-58302.5,60699,9325.1428994795
9665,KDOX20100901_102715_V04.gz,353,KDOX,2010,9,1,10,27,10,-4,-58302.5,60699,11150.863030706
9666,KDOX20100901_103258_V04.gz,353,KDOX,2010,9,1,10,32,55,2,-58302.5,60699,12545.300406264
9698,KDOX20100902_100029_V04.gz,245,KDOX,2010,9,2,10,0,24,-32,41104.5,52709.5,2855.2251224728
9699,KDOX20100902_101009_V04.gz,245,KDOX,2010,9,2,10,10,5,-22,45104.5,54209.5,5859.335329199
9700,KDOX20100902_101949_V04.gz,245,KDOX,2010,9,2,10,19,45,-12,47104.5,57209.5,9255.0964608695
9701,KDOX20100902_102929_V04.gz,245,KDOX,2010,9,2,10,29,26,-3,48604.5,61209.5,10827.594862203
9698,KDOX20100902_100029_V04.gz,246,KDOX,2010,9,2,10,0,24,-32,-58983,63601,4374.5
9699,KDOX20100902_101009_V04.gz,246,KDOX,2010,9,2,10,10,5,-22,-53581,65003,8870.853767149
9700,KDOX20100902_101949_V04.gz,246,KDOX,2010,9,2,10,19,45,-12,-52286.5,63606,11888.8477355
9701,KDOX20100902_102929_V04.gz,246,KDOX,2010,9,2,10,29,26,-3,-51483,62601,14931.5
9702,KDOX20100902_103910_V04.gz,246,KDOX,2010,9,2,10,39,7,7,-50076.5,63606,18957.810348718
9698,KDOX20100902_100029_V04.gz,247,KDOX,2010,9,2,10,0,24,-32,-33005,-48489.5,2540.2037811955
9699,KDOX20100902_101009_V04.gz,247,KDOX,2010,9,2,10,10,5,-22,-29505,-47489.5,6956.1940204395
9700,KDOX20100902_101949_V04.gz,247,KDOX,2010,9,2,10,19,45,-12,-26505,-47989.5,11000.6424926
9701,KDOX20100902_102929_V04.gz,247,KDOX,2010,9,2,10,29,26,-3,-28005,-52989.5,13498.579008548
9698,KDOX20100902_100029_V04.gz,354,KDOX,2010,9,2,10,0,24,-32,45022,51259.5,2646
9699,KDOX20100902_101009_V04.gz,354,KDOX,2010,9,2,10,10,5,-22,49348,50003.5,5209.3199616475
9700,KDOX20100902_101949_V04.gz,354,KDOX,2010,9,2,10,19,45,-12,51580.5,51259.5,8246.1950022825
