scan_id,filename,sequence_id,station,year,month,day,hour,minute,second,minutes_from_sunrise,x,y,r
116480,KDOX20111001_105047_V04.gz,1575,KDOX,2011,10,1,10,50,47,-7,-6407,74425.5,3529.300756
116481,KDOX20111001_110027_V04.gz,1575,KDOX,2011,10,1,11,0,27,2,-6574.5,71076.5,8033.58494
116482,KDOX20111001_110612_V04.gz,1575,KDOX,2011,10,1,11,6,12,8,-6909,68397.5,10560.28723
116483,KDOX20111001_111157_V04.gz,1575,KDOX,2011,10,1,11,11,57,14,-6574,65383.5,13728.60401
116484,KDOX20111001_111742_V04.gz,1575,KDOX,2011,10,1,11,17,42,20,-7411,63709,16568.85259
116485,KDOX20111001_112328_V04.gz,1575,KDOX,2011,10,1,11,23,28,25,-7411,62704,18947.83974
116486,KDOX20111001_112900_V04.gz,1575,KDOX,2011,10,1,11,29,13,31,-6908.5,60694.5,22264.89724
116487,KDOX20111001_113400_V04.gz,1575,KDOX,2011,10,1,11,34,58,37,-7243.5,59020,24262.91641
116488,KDOX20111001_114000_V04.gz,1575,KDOX,2011,10,1,11,40,43,43,-6549,58673,27028.43194
116480,KDOX20111001_105047_V04.gz,1576,KDOX,2011,10,1,10,50,47,-7,63990,56511,2484.720136
116481,KDOX20111001_110027_V04.gz,1576,KDOX,2011,10,1,11,0,27,2,65396.5,56310,6702.708485
116482,KDOX20111001_110612_V04.gz,1576,KDOX,2011,10,1,11,6,12,8,64994.5,55305.5,9507.33425
116483,KDOX20111001_111157_V04.gz,1576,KDOX,2011,10,1,11,11,57,14,63989.5,53095,11340.06489
116484,KDOX20111001_111742_V04.gz,1576,KDOX,2011,10,1,11,17,42,20,61578.5,51085.5,13737.3969
116485,KDOX20111001_112328_V04.gz,1576,KDOX,2011,10,1,11,23,28,25,59569,50081,14932.0224
116480,KDOX20111001_105047_V04.gz,1577,KDOX,2011,10,1,10,50,47,-7,39872.5,49653,1119.703542
116481,KDOX20111001_110027_V04.gz,1577,KDOX,2011,10,1,11,0,27,2,41681,47643.5,7113.822835
116482,KDOX20111001_110612_V04.gz,1577,KDOX,2011,10,1,11,6,12,8,44092.5,46036,9548.538955
116483,KDOX20111001_111157_V04.gz,1577,KDOX,2011,10,1,11,11,57,14,44494.5,45031.5,12145.17917
116484,KDOX20111001_111742_V04.gz,1577,KDOX,2011,10,1,11,17,42,20,44695.5,43022,15363.4738
116482,KDOX20111001_110612_V04.gz,1578,KDOX,2011,10,1,11,6,12,8,88995,74961.5,3217.869047
116483,KDOX20111001_111157_V04.gz,1578,KDOX,2011,10,1,11,11,57,14,86583.5,74238,6030.214655
116480,KDOX20111001_105047_V04.gz,1579,KDOX,2011,10,1,10,50,47,-7,-31003,-45579,2477.554471
116481,KDOX20111001_110027_V04.gz,1579,KDOX,2011,10,1,11,0,27,2,-29142.5,-51277,7312.40509
116482,KDOX20111001_110612_V04.gz,1579,KDOX,2011,10,1,11,6,12,8,-29375,-54882,9351.06491
116483,KDOX20111001_111157_V04.gz,1579,KDOX,2011,10,1,11,11,57,14,-28793.5,-58021.5,11936.10506
116484,KDOX20111001_111742_V04.gz,1579,KDOX,2011,10,1,11,17,42,20,-27863,-61161.5,14816.35811
116485,KDOX20111001_112328_V04.gz,1579,KDOX,2011,10,1,11,23,28,25,-28104,-64778.5,18370.18642
116486,KDOX20111001_112900_V04.gz,1579,KDOX,2011,10,1,11,29,13,31,-27863,-67672,21990.32107
116481,KDOX20111001_110027_V04.gz,1580,KDOX,2011,10,1,11,0,27,2,17666.5,-6368.5,2751.297064
116482,KDOX20111001_110612_V04.gz,1580,KDOX,2011,10,1,11,6,12,8,18775,-8344.5,4288.507166
116483,KDOX20111001_111157_V04.gz,1580,KDOX,2011,10,1,11,11,57,14,19259.5,-11154.5,6681.26602
116484,KDOX20111001_111742_V04.gz,1580,KDOX,2011,10,1,11,17,42,20,19356.5,-12995.5,9005.08824
116485,KDOX20111001_112328_V04.gz,1580,KDOX,2011,10,1,11,23,28,25,18387.5,-15515,11623.26959
115253,KDOX20111004_104845_V04.gz,1617,KDOX,2011,10,4,10,48,45,-11,-5867,70557.5,2473.950113
115254,KDOX20111004_105826_V04.gz,1617,KDOX,2011,10,4,10,58,26,-2,-5281.5,71689,4453.323907
115255,KDOX20111004_110808_V04.gz,1617,KDOX,2011,10,4,11,8,8,8,-5264,70356.5,8712.02045
115256,KDOX20111004_111354_V04.gz,1617,KDOX,2011,10,4,11,13,54,14,-3455.5,66137,14533.38493
115257,KDOX20111004_111940_V04.gz,1617,KDOX,2011,10,4,11,19,40,20,-2250,63123,16332.55345
115258,KDOX20111004_112528_V04.gz,1617,KDOX,2011,10,4,11,25,28,25,-1245.5,62118,19548.03165
115259,KDOX20111004_113500_V04.gz,1617,KDOX,2011,10,4,11,35,10,35,-2853,59907.5,23382.08955
115260,KDOX20111004_114400_V04.gz,1617,KDOX,2011,10,4,11,44,52,45,-3857.5,56692.5,25976.45593
115261,KDOX20111004_115400_V04.gz,1617,KDOX,2011,10,4,11,54,34,55,-5246.5,50789.5,29317.30766
115253,KDOX20111004_104845_V04.gz,1618,KDOX,2011,10,4,10,48,45,-11,40223.5,48388.5,1468.38229
115254,KDOX20111004_105826_V04.gz,1618,KDOX,2011,10,4,10,58,26,-2,42306.5,45263.5,5899.283975
115255,KDOX20111004_110808_V04.gz,1618,KDOX,2011,10,4,11,8,8,8,43001,41791.5,10040.40739
115256,KDOX20111004_111354_V04.gz,1618,KDOX,2011,10,4,11,13,54,14,44390,41791.5,12817.97981
115257,KDOX20111004_111940_V04.gz,1618,KDOX,2011,10,4,11,19,40,20,44737,38666.5,15604.92548
115258,KDOX20111004_112528_V04.gz,1618,KDOX,2011,10,4,11,25,28,25,44737,36236,16683.56349
115254,KDOX20111004_105826_V04.gz,1619,KDOX,2011,10,4,10,58,26,-2,64899.5,60161.5,5214.417065
115255,KDOX20111004_110808_V04.gz,1619,KDOX,2011,10,4,11,8,8,8,68024.5,56689.5,9113.327145
115256,KDOX20111004_111354_V04.gz,1619,KDOX,2011,10,4,11,13,54,14,69760.5,53564.5,11178.5
115257,KDOX20111004_111940_V04.gz,1619,KDOX,2011,10,4,11,19,40,20,69760.5,53564.5,14586.79533
115258,KDOX20111004_112528_V04.gz,1619,KDOX,2011,10,4,11,25,28,25,70107.5,51481,17038.13512
115254,KDOX20111004_105826_V04.gz,1620,KDOX,2011,10,4,10,58,26,-2,85459,80225,6332.547065
115255,KDOX20111004_110808_V04.gz,1620,KDOX,2011,10,4,11,8,8,8,89625.5,76058.5,9464.381645
115256,KDOX20111004_111354_V04.gz,1620,KDOX,2011,10,4,11,13,54,14,91014.5,73975,12642.81842
115257,KDOX20111004_111940_V04.gz,1620,KDOX,2011,10,4,11,19,40,20,91014.5,72239,16050.67862
115258,KDOX20111004_112528_V04.gz,1620,KDOX,2011,10,4,11,25,28,25,91361.5,70503,16397.89256
115253,KDOX20111004_104845_V04.gz,1621,KDOX,2011,10,4,10,48,45,-11,18211.5,-5143,2699.498632
115254,KDOX20111004_105826_V04.gz,1621,KDOX,2011,10,4,10,58,26,-2,21560.5,-10501.5,6281.6298
115255,KDOX20111004_110808_V04.gz,1621,KDOX,2011,10,4,11,8,8,8,22230,-12343,8954.954145
115256,KDOX20111004_111354_V04.gz,1621,KDOX,2011,10,4,11,13,54,14,21727.5,-15524.5,10749.80474
115257,KDOX20111004_111940_V04.gz,1621,KDOX,2011,10,4,11,19,40,20,22230,-18706,13751.29004
115253,KDOX20111004_104845_V04.gz,1622,KDOX,2011,10,4,10,48,45,-11,4255,28611.5,1988.413466
115254,KDOX20111004_105826_V04.gz,1622,KDOX,2011,10,4,10,58,26,-2,6432,25262.5,4878.804982
115255,KDOX20111004_110808_V04.gz,1622,KDOX,2011,10,4,11,8,8,8,5595,23588,9109.760065
115254,KDOX20111004_105826_V04.gz,1623,KDOX,2011,10,4,10,58,26,-2,-46649.5,-10150.5,2740.792146
