scan_id,filename,sequence_id,station,year,month,day,hour,minute,second,minutes_from_sunrise,x,y,r
841642,KDOX20080901_095643_V04.gz,6472,KDOX,2008,9,1,9,56,40,-34,39077.5,49021,5191.532999577
841643,KDOX20080901_100630_V04.gz,6472,KDOX,2008,9,1,10,6,26,-25,41730,44198.5,9762.807503768
841644,KDOX20080901_101617_V04.gz,6472,KDOX,2008,9,1,10,16,13,-15,40524,38411,17964.07420715
841645,KDOX20080901_102604_V04.gz,6472,KDOX,2008,9,1,10,25,59,-5,41730,37447,20624.110130825
841646,KDOX20080901_103550_V04.gz,6472,KDOX,2008,9,1,10,35,46,5,41730,37447,24229.407894805
841647,KDOX20080901_104536_V04.gz,6472,KDOX,2008,9,1,10,45,32,15,45106,34794.5,27121.906842137
841643,KDOX20080901_100630_V04.gz,6473,KDOX,2008,9,1,10,6,26,-25,39439.5,46641.5,4416.2136764187
841644,KDOX20080901_101617_V04.gz,6473,KDOX,2008,9,1,10,16,13,-15,39439.5,46641.5,7558.6120734285
841644,KDOX20080901_101617_V04.gz,6474,KDOX,2008,9,1,10,16,13,-15,-9415,71393,1360.698413583
841645,KDOX20080901_102604_V04.gz,6474,KDOX,2008,9,1,10,25,59,-5,-9531.5,71974.5,5321.5
841646,KDOX20080901_103550_V04.gz,6474,KDOX,2008,9,1,10,35,46,5,-11624.5,69997.5,9270.2838629255
841647,KDOX20080901_104536_V04.gz,6474,KDOX,2008,9,1,10,45,32,15,-12322.5,68951,13575.196714752
841648,KDOX20080901_105523_V04.gz,6474,KDOX,2008,9,1,10,55,18,24,-14251.5,66539.5,17612.764715762
841649,KDOX20080901_110508_V04.gz,6474,KDOX,2008,9,1,11,5,5,34,-12804.5,65334,19534.019533304
841645,KDOX20080901_102604_V04.gz,6475,KDOX,2008,9,1,10,25,59,-5,-34893.5,50417.5,2175.7689000604
841646,KDOX20080901_103550_V04.gz,6475,KDOX,2008,9,1,10,35,46,5,-35539.5,49125,4755.6429072826
841647,KDOX20080901_104536_V04.gz,6475,KDOX,2008,9,1,10,45,32,15,-36670,47187,7102.14370929
841644,KDOX20080901_101617_V04.gz,6476,KDOX,2008,9,1,10,16,13,-15,78305.5,81422,4241.6454176788
841645,KDOX20080901_102604_V04.gz,6476,KDOX,2008,9,1,10,25,59,-5,77840.5,80259,6464.48756458
841646,KDOX20080901_103550_V04.gz,6476,KDOX,2008,9,1,10,35,46,5,75747.5,77933.5,9250.850935498
841647,KDOX20080901_104536_V04.gz,6476,KDOX,2008,9,1,10,45,32,15,76212.5,77003,11226.156502563
841648,KDOX20080901_105523_V04.gz,6476,KDOX,2008,9,1,10,55,18,24,77259,76072.5,14706.790962654
841644,KDOX20080901_101617_V04.gz,6477,KDOX,2008,9,1,10,16,13,-15,60012,60050.5,3453
841645,KDOX20080901_102604_V04.gz,6477,KDOX,2008,9,1,10,25,59,-5,59547,57492.5,5929.598489653
841646,KDOX20080901_103550_V04.gz,6477,KDOX,2008,9,1,10,35,46,5,59431,54469,9530.716570613
841647,KDOX20080901_104536_V04.gz,6477,KDOX,2008,9,1,10,45,32,15,58617,52841,12259.685817027
841648,KDOX20080901_105523_V04.gz,6477,KDOX,2008,9,1,10,55,18,24,56872.5,49352.5,15243.841771029
841642,KDOX20080901_095643_V04.gz,6478,KDOX,2008,9,1,9,56,40,-34,-73778,54488.5,6797
841643,KDOX20080901_100630_V04.gz,6478,KDOX,2008,9,1,10,6,26,-25,-74742.5,51595,11339.103709688
841644,KDOX20080901_101617_V04.gz,6478,KDOX,2008,9,1,10,16,13,-15,-77877,49666,17367.228242368
841645,KDOX20080901_102604_V04.gz,6478,KDOX,2008,9,1,10,25,59,-5,-73778,41467.5,22224.926061949
841646,KDOX20080901_103550_V04.gz,6478,KDOX,2008,9,1,10,35,46,5,-69437.5,36886,26290.671137429
841644,KDOX20080901_101617_V04.gz,6479,KDOX,2008,9,1,10,16,13,-15,17547,-5284.5,2078.5849441104
841645,KDOX20080901_102604_V04.gz,6479,KDOX,2008,9,1,10,25,59,-5,17450,-8579,6028.7292809445
841646,KDOX20080901_103550_V04.gz,6479,KDOX,2008,9,1,10,35,46,5,17450,-8579,9226.9200514545
841660,KDOX20080902_102233_V04.gz,6480,KDOX,2008,9,2,10,22,30,-10,78779,77896.5,5063.6360801815
841661,KDOX20080902_103220_V04.gz,6480,KDOX,2008,9,2,10,32,17,0,77104.5,74045,8410.314670524
841662,KDOX20080902_104208_V04.gz,6480,KDOX,2008,9,2,10,42,3,10,76769.5,69859,10089.787288643
841663,KDOX20080902_105153_V04.gz,6480,KDOX,2008,9,2,10,51,50,20,76267,66510,13295.053895365
841660,KDOX20080902_102233_V04.gz,6481,KDOX,2008,9,2,10,22,30,-10,58939.5,55769.5,4326.4553008977
841661,KDOX20080902_103220_V04.gz,6481,KDOX,2008,9,2,10,32,17,0,58939.5,53425,6198.5
841662,KDOX20080902_104208_V04.gz,6481,KDOX,2008,9,2,10,42,3,10,58102,48736.5,8139.1987451415
841657,KDOX20080902_095312_V04.gz,6482,KDOX,2008,9,2,9,53,8,-39,36891,48208.5,3366.304050115
841658,KDOX20080902_100259_V04.gz,6482,KDOX,2008,9,2,10,2,55,-29,36723.5,46199,5820.7520299315
841659,KDOX20080902_101247_V04.gz,6482,KDOX,2008,9,2,10,12,43,-19,37111,45811.5,7746.978921686
841660,KDOX20080902_102233_V04.gz,6482,KDOX,2008,9,2,10,22,30,-10,36547.5,41362,14373.652766008
841661,KDOX20080902_103220_V04.gz,6482,KDOX,2008,9,2,10,32,17,0,36547.5,37343,18574.264975488
841662,KDOX20080902_104208_V04.gz,6482,KDOX,2008,9,2,10,42,3,10,34370.5,32654.5,23918.092134021
841660,KDOX20080902_102233_V04.gz,6483,KDOX,2008,9,2,10,22,30,-10,-69490.5,53214.5,8610.900606206
841661,KDOX20080902_103220_V04.gz,6483,KDOX,2008,9,2,10,32,17,0,-70294.5,51205,13631.96580289
841662,KDOX20080902_104208_V04.gz,6483,KDOX,2008,9,2,10,42,3,10,-72906.5,47588,17869.539972924
841660,KDOX20080902_102233_V04.gz,6484,KDOX,2008,9,2,10,22,30,-10,-10591,75053,5058.1424001375
841661,KDOX20080902_103220_V04.gz,6484,KDOX,2008,9,2,10,32,17,0,-14609.5,72641.5,7268
841662,KDOX20080902_104208_V04.gz,6484,KDOX,2008,9,2,10,42,3,10,-16418,72641.5,12076.973884523
841663,KDOX20080902_105153_V04.gz,6484,KDOX,2008,9,2,10,51,50,20,-19030,71837.5,14921.753873799
841664,KDOX20080902_110140_V04.gz,6484,KDOX,2008,9,2,11,1,36,30,-19834,70632,19741.885016337
841659,KDOX20080902_101247_V04.gz,6485,KDOX,2008,9,2,10,12,43,-19,17854.5,-4024,1218.3486249079
841660,KDOX20080902_102233_V04.gz,6485,KDOX,2008,9,2,10,22,30,-10,17519.5,-6033.5,3435.5
841661,KDOX20080902_103220_V04.gz,6485,KDOX,2008,9,2,10,32,17,0,16682.5,-9047.5,6872.9709861035
841662,KDOX20080902_104208_V04.gz,6485,KDOX,2008,9,2,10,42,3,10,15510.5,-10052,9398.2660045685
841663,KDOX20080902_105153_V04.gz,6485,KDOX,2008,9,2,10,51,50,20,16347.5,-12898.5,12563.798787872
841674,KDOX20080903_100413_V04.gz,6486,KDOX,2008,9,3,10,4,9,-29,40755.5,50753.5,3606.4680809656
841675,KDOX20080903_101359_V04.gz,6486,KDOX,2008,9,3,10,13,54,-19,40658.5,51432,6474
841676,KDOX20080903_102344_V04.gz,6486,KDOX,2008,9,3,10,23,40,-9,40658.5,51432,8464.9929602985
841677,KDOX20080903_103329_V04.gz,6486,KDOX,2008,9,3,10,33,26,0,40658.5,51432,11432.268824246
841678,KDOX20080903_103919_V04.gz,6486,KDOX,2008,9,3,10,39,15,6,39786.5,52982.5,13442.364236707
841679,KDOX20080903_104510_V04.gz,6486,KDOX,2008,9,3,10,45,6,12,37186.5,52879,17737.804386596
841676,KDOX20080903_102344_V04.gz,6487,KDOX,2008,9,3,10,23,40,-9,-8562,73986.5,3178.5
841677,KDOX20080903_103329_V04.gz,6487,KDOX,2008,9,3,10,33,26,0,-12276.5,72129.5,7800.8080871695
841678,KDOX20080903_103919_V04.gz,6487,KDOX,2008,9,3,10,39,15,6,-13568.5,71887,10275.726260068
841679,KDOX20080903_104510_V04.gz,6487,KDOX,2008,9,3,10,45,6,12,-13568.5,71887,13822.218746199
841680,KDOX20080903_105101_V04.gz,6487,KDOX,2008,9,3,10,50,56,18,-14545.5,69654.5,16148.647313233
841681,KDOX20080903_110047_V04.gz,6487,KDOX,2008,9,3,11,0,43,28,-18452.5,68817.5,18380.410969143
841674,KDOX20080903_100413_V04.gz,6488,KDOX,2008,9,3,10,4,9,-29,-71338,53838,5620.323860568
841675,KDOX20080903_101359_V04.gz,6488,KDOX,2008,9,3,10,13,54,-19,-72785,54416.5,14455.373207801
841676,KDOX20080903_102344_V04.gz,6488,KDOX,2008,9,3,10,23,40,-9,-72495.5,48629.5,19032.906961929
841677,KDOX20080903_103329_V04.gz,6488,KDOX,2008,9,3,10,33,26,0,-73363.5,46025.5,22862.118207908
841678,KDOX20080903_103919_V04.gz,6488,KDOX,2008,9,3,10,39,15,6,-74521,44578.5,26312.934226237
841676,KDOX20080903_102344_V04.gz,6489,KDOX,2008,9,3,10,23,40,-9,-35196.5,51442.5,2869.2549422709
841677,KDOX20080903_103329_V04.gz,6489,KDOX,2008,9,3,10,33,26,0,-36592,49488.5,5941.0349977095
841678,KDOX20080903_103919_V04.gz,6489,KDOX,2008,9,3,10,39,15,6,-37569,48093,7383.547271111
841679,KDOX20080903_104510_V04.gz,6489,KDOX,2008,9,3,10,45,6,12,-39243.5,45581.5,10124.302416643
841680,KDOX20080903_105101_V04.gz,6489,KDOX,2008,9,3,10,50,56,18,-39801.5,42651,11690.221281805
841681,KDOX20080903_110047_V04.gz,6489,KDOX,2008,9,3,11,0,43,28,-41476,38743.5,13894.53359179
841676,KDOX20080903_102344_V04.gz,6490,KDOX,2008,9,3,10,23,40,-9,-19572.5,43821,1853.1735755606
841677,KDOX20080903_103329_V04.gz,6490,KDOX,2008,9,3,10,33,26,0,-21349.5,40671.5,5089.0584979725
841678,KDOX20080903_103919_V04.gz,6490,KDOX,2008,9,3,10,39,15,6,-21995.5,39137,6797.013591497
841679,KDOX20080903_104510_V04.gz,6490,KDOX,2008,9,3,10,45,6,12,-23287.5,36956.5,8560.55260136
841680,KDOX20080903_105101_V04.gz,6490,KDOX,2008,9,3,10,50,56,18,-23985,34724,11084.121584021
841719,KDOX20080905_095526_V04.gz,6491,KDOX,2008,9,5,9,55,21,-40,41963,53087.5,3448.9603015788
