scan_id,filename,sequence_id,station,year,month,day,hour,minute,second,minutes_from_sunrise,x,y,r
944202,KLIX20121002_115300_V04.gz,8452,KLIX,2012,10,2,11,53,13,-1,-67124,-34037.5,6088.5
944203,KLIX20121002_120300_V04.gz,8452,KLIX,2012,10,2,12,3,51,10,-63652,-33748,10139.602038863
944204,KLIX20121002_121400_V04.gz,8452,KLIX,2012,10,2,12,14,31,21,-63652,-33748,12105.32586267
944205,KLIX20121002_122500_V04.gz,8452,KLIX,2012,10,2,12,25,10,31,-62494.5,-33748,15588.62833451
944206,KLIX20121002_123500_V04.gz,8452,KLIX,2012,10,2,12,35,48,42,-62494.5,-33748,17877.363472898
944207,KLIX20121002_124600_V04.gz,8452,KLIX,2012,10,2,12,46,26,52,-62494.5,-33748,20766.787067015
944202,KLIX20121002_115300_V04.gz,8453,KLIX,2012,10,2,11,53,13,-1,-50213,-46728.5,5742
944203,KLIX20121002_120300_V04.gz,8453,KLIX,2012,10,2,12,3,51,10,-49345,-46728.5,9651.4577043895
944202,KLIX20121002_115300_V04.gz,8454,KLIX,2012,10,2,11,53,13,-1,-60717.5,-79412,3964
944203,KLIX20121002_120300_V04.gz,8454,KLIX,2012,10,2,12,3,51,10,-60717.5,-79412,10009.428271931
945005,KLIX20121003_114900_V04.gz,8466,KLIX,2012,10,3,11,49,3,-5,-68367.5,-31150,2621.1397810819
945006,KLIX20121003_115500_V04.gz,8466,KLIX,2012,10,3,11,55,22,1,-68367.5,-31150,6851.2138004325
945007,KLIX20121003_120100_V04.gz,8466,KLIX,2012,10,3,12,1,40,8,-68367.5,-31150,9649.6708409925
945008,KLIX20121003_120700_V04.gz,8466,KLIX,2012,10,3,12,7,58,14,-67563.5,-30748,12665.957172264
945009,KLIX20121003_121400_V04.gz,8466,KLIX,2012,10,3,12,14,16,20,-67563.5,-30748,17290.956571999
945573,KLIX20121004_120200_V04.gz,8465,KLIX,2012,10,4,12,2,3,7,-64410.5,-30240.5,3950.4366019653
945574,KLIX20121004_120800_V04.gz,8465,KLIX,2012,10,4,12,8,22,13,-65415,-29035,6675.721536945
945575,KLIX20121004_121400_V04.gz,8465,KLIX,2012,10,4,12,14,42,20,-65415,-30039.5,10363.692648961
945576,KLIX20121004_122100_V04.gz,8465,KLIX,2012,10,4,12,21,2,26,-65415,-30039.5,12184.5
945577,KLIX20121004_122700_V04.gz,8465,KLIX,2012,10,4,12,27,20,32,-65415,-30039.5,14910.266636191
945578,KLIX20121004_123300_V04.gz,8465,KLIX,2012,10,4,12,33,37,39,-65415,-30039.5,16316.768503762
946074,KLIX20121005_114400_V04.gz,8467,KLIX,2012,10,5,11,44,54,-11,-68739.5,-34223.5,2306.5
946075,KLIX20121005_115100_V04.gz,8467,KLIX,2012,10,5,11,51,12,-5,-68739.5,-34223.5,3845.476351982
946076,KLIX20121005_115700_V04.gz,8467,KLIX,2012,10,5,11,57,30,2,-68739.5,-34223.5,6773.500342751
946077,KLIX20121005_120300_V04.gz,8467,KLIX,2012,10,5,12,3,48,8,-68739.5,-34223.5,9561.5536054775
946078,KLIX20121005_121000_V04.gz,8467,KLIX,2012,10,5,12,10,6,14,-68739.5,-34223.5,12507.673065092
946074,KLIX20121005_114400_V04.gz,8468,KLIX,2012,10,5,11,44,54,-11,-52455,-46267,3375.5
946075,KLIX20121005_115100_V04.gz,8468,KLIX,2012,10,5,11,51,12,-5,-52455,-46267,5575.024172507
946076,KLIX20121005_115700_V04.gz,8468,KLIX,2012,10,5,11,57,30,2,-52455,-46267,7652.384921924
946569,KLIX20121006_115400_V04.gz,8469,KLIX,2012,10,6,11,54,32,-1,-66467.5,-32787,6172
946570,KLIX20121006_120500_V04.gz,8469,KLIX,2012,10,6,12,5,10,9,-64960.5,-33457,12778.463204637
946571,KLIX20121006_121500_V04.gz,8469,KLIX,2012,10,6,12,15,47,20,-63621,-34127,17441.990176715
947611,KLIX20121008_115600_V04.gz,8470,KLIX,2012,10,8,11,56,36,0,-52052.5,-47609,2552.5
947612,KLIX20121008_120700_V04.gz,8471,KLIX,2012,10,8,12,7,15,10,-69097.5,-33576.5,3464
947613,KLIX20121008_121700_V04.gz,8471,KLIX,2012,10,8,12,17,54,21,-69097.5,-33576.5,14211.878493907
947614,KLIX20121008_122800_V04.gz,8471,KLIX,2012,10,8,12,28,33,32,-69097.5,-33576.5,17671.458970855
947615,KLIX20121008_123900_V04.gz,8471,KLIX,2012,10,8,12,39,12,42,-69097.5,-33576.5,23252.464719803
948044,KLIX20121009_115700_V04.gz,8472,KLIX,2012,10,9,11,57,27,-1,-69711,-31821.5,4656.5
948045,KLIX20121009_120800_V04.gz,8472,KLIX,2012,10,9,12,8,6,10,-69711,-31821.5,12693.193686336
948046,KLIX20121009_121800_V04.gz,8472,KLIX,2012,10,9,12,18,45,21,-69711,-31821.5,19717.672478319
948047,KLIX20121009_122900_V04.gz,8472,KLIX,2012,10,9,12,29,26,31,-69711,-31821.5,25743.383289767
948470,KLIX20121010_114600_V04.gz,8473,KLIX,2012,10,10,11,46,48,-12,-68354.5,-32873.5,1566.1234041714
948471,KLIX20121010_115700_V04.gz,8473,KLIX,2012,10,10,11,57,26,-2,-68354.5,-32873.5,10274.748736767
948472,KLIX20121010_120800_V04.gz,8473,KLIX,2012,10,10,12,8,6,9,-68354.5,-32873.5,19143.138999169
948473,KLIX20121010_121800_V04.gz,8473,KLIX,2012,10,10,12,18,44,20,-68354.5,-32873.5,24668.52484628
948767,KLIX20121011_115200_V04.gz,8474,KLIX,2012,10,11,11,52,54,-6,-69356.5,-32110,5061.5
948768,KLIX20121011_120300_V04.gz,8474,KLIX,2012,10,11,12,3,33,5,-69356.5,-32110,10642.322694078
948769,KLIX20121011_121400_V04.gz,8474,KLIX,2012,10,11,12,14,10,15,-69356.5,-32110,16267.325938703
948770,KLIX20121011_122400_V04.gz,8474,KLIX,2012,10,11,12,24,49,26,-69356.5,-32110,21901.832360615
948771,KLIX20121011_123500_V04.gz,8474,KLIX,2012,10,11,12,35,26,36,-69356.5,-32110,27119.875723612
948769,KLIX20121011_121400_V04.gz,8475,KLIX,2012,10,11,12,14,10,15,-94814,-38090.5,14816.7383915
948770,KLIX20121011_122400_V04.gz,8475,KLIX,2012,10,11,12,24,49,26,-94814,-38090.5,21703.562270488
948767,KLIX20121011_115200_V04.gz,8476,KLIX,2012,10,11,11,52,54,-6,-54236.5,-43274,3761.5
948768,KLIX20121011_120300_V04.gz,8476,KLIX,2012,10,11,12,3,33,5,-54236.5,-43274,9824.353430605
948769,KLIX20121011_121400_V04.gz,8476,KLIX,2012,10,11,12,14,10,15,-54236.5,-43274,15021.63529377
949280,KLIX20121012_120800_V04.gz,8817,KLIX,2012,10,12,12,8,27,8,-67814.5,-27623,12127
949281,KLIX20121012_121400_V04.gz,8817,KLIX,2012,10,12,12,14,46,15,-67814.5,-27623,18141.293758991
949282,KLIX20121012_122500_V04.gz,8817,KLIX,2012,10,12,12,25,25,25,-67814.5,-27623,24125.050036217
949971,KLIX20121013_120100_V04.gz,8816,KLIX,2012,10,13,12,1,35,1,-66897,-22000,6998.5
949972,KLIX20121013_121200_V04.gz,8816,KLIX,2012,10,13,12,12,12,11,-60897,-24000,11584.54181226
949973,KLIX20121013_122300_V04.gz,8816,KLIX,2012,10,13,12,23,47,23,-62897,-19000,15505.083327735
949974,KLIX20121013_123400_V04.gz,8816,KLIX,2012,10,13,12,34,26,33,-62897,-19000,21008.655573359
949975,KLIX20121013_124500_V04.gz,8816,KLIX,2012,10,13,12,45,4,44,-62897,-19000,27565.351603054
950497,KLIX20121014_115800_V04.gz,8815,KLIX,2012,10,14,11,58,41,-2,-71122,-26669,10297.5
950498,KLIX20121014_120900_V04.gz,8815,KLIX,2012,10,14,12,9,18,8,-71122,-26669,16227.613656973
950499,KLIX20121014_121900_V04.gz,8815,KLIX,2012,10,14,12,19,57,19,-65622,-18669,16227.5
950500,KLIX20121014_123000_V04.gz,8815,KLIX,2012,10,14,12,30,35,30,-65622,-18669,23677.171389336
951046,KLIX20121015_115700_V04.gz,8814,KLIX,2012,10,15,11,57,31,-4,-67316.5,-34947.5,7969
951047,KLIX20121015_120300_V04.gz,8814,KLIX,2012,10,15,12,3,48,2,-67316.5,-34947.5,13472.265158465
951048,KLIX20121015_121000_V04.gz,8814,KLIX,2012,10,15,12,10,5,8,-67316.5,-34947.5,14470.553842199
952423,KLIX20121018_115400_V04.gz,8813,KLIX,2012,10,18,11,54,6,-10,-66156.5,-31223,5787
952424,KLIX20121018_115900_V04.gz,8813,KLIX,2012,10,18,11,59,8,-5,-66156.5,-31223,10228.769293028
952425,KLIX20121018_120400_V04.gz,8813,KLIX,2012,10,18,12,4,9,0,-60156.5,-29223,10229
952426,KLIX20121018_120900_V04.gz,8813,KLIX,2012,10,18,12,9,10,5,-56656.5,-28723,16723.732276319
952427,KLIX20121018_121400_V04.gz,8813,KLIX,2012,10,18,12,14,12,10,-56656.5,-28723,20733.39627871
968041,KLIX20121020_115900_V04.gz,8812,KLIX,2012,10,20,11,59,58,-5,-65210,-29750,8520
968042,KLIX20121020_121000_V04.gz,8812,KLIX,2012,10,20,12,10,37,6,-65210,-29750,12753.297612774
968043,KLIX20121020_121600_V04.gz,8812,KLIX,2012,10,20,12,16,56,12,-65210,-29750,17251.278213512
968044,KLIX20121020_122300_V04.gz,8812,KLIX,2012,10,20,12,23,15,18,-65210,-29750,19266.203569983
968045,KLIX20121020_122900_V04.gz,8812,KLIX,2012,10,20,12,29,35,25,-65210,-29750,20265.404017685
1121971,KLIX20121022_115300_V04.gz,8810,KLIX,2012,10,22,11,53,13,-14,-50678.5,-11797.5,6831.5
1121972,KLIX20121022_120400_V04.gz,8810,KLIX,2012,10,22,12,4,48,-2,-50678.5,-11797.5,10319.828898776
1121971,KLIX20121022_115300_V04.gz,8811,KLIX,2012,10,22,11,53,13,-14,-68000,-32000,4717
1121972,KLIX20121022_120400_V04.gz,8811,KLIX,2012,10,22,12,4,48,-2,-68000,-32000,9513.14879522
1121973,KLIX20121022_121500_V04.gz,8811,KLIX,2012,10,22,12,15,27,8,-72500,-31500,16530.275254816
1121974,KLIX20121022_122600_V04.gz,8811,KLIX,2012,10,22,12,26,5,19,-72500,-31500,24627.22071205
1121975,KLIX20121022_123600_V04.gz,8811,KLIX,2012,10,22,12,36,44,30,-72500,-31500,28004.463929881
1129245,KLIX20121023_120200_V04.gz,8807,KLIX,2012,10,23,12,2,10,-6,-52485.5,-10946,11649
1129246,KLIX20121023_121200_V04.gz,8807,KLIX,2012,10,23,12,12,47,5,-52485.5,-10946,11649
1129247,KLIX20121023_122300_V04.gz,8807,KLIX,2012,10,23,12,23,26,15,-52485.5,-10946,14980.391391749
1129246,KLIX20121023_121200_V04.gz,8808,KLIX,2012,10,23,12,12,47,5,-72750,-31750,18374.5
1129247,KLIX20121023_122300_V04.gz,8808,KLIX,2012,10,23,12,23,26,15,-68250,-29250,18374.5
1129248,KLIX20121023_123500_V04.gz,8808,KLIX,2012,10,23,12,35,3,27,-64250,-21250,18374.5
1129249,KLIX20121023_124500_V04.gz,8808,KLIX,2012,10,23,12,45,40,38,-61250,-14250,18374.5
1129248,KLIX20121023_123500_V04.gz,8809,KLIX,2012,10,23,12,35,3,27,-128851.5,33479,12623
1129249,KLIX20121023_124500_V04.gz,8809,KLIX,2012,10,23,12,45,40,38,-128851.5,33479,19531.768820309
1135954,KLIX20121024_120000_V04.gz,8804,KLIX,2012,10,24,12,0,22,-8,-49051.5,-9586.5,7063.5
1135955,KLIX20121024_121000_V04.gz,8804,KLIX,2012,10,24,12,10,59,3,-49051.5,-9586.5,12086.609719024
1135956,KLIX20121024_122100_V04.gz,8804,KLIX,2012,10,24,12,21,38,14,-49051.5,-9586.5,16086.582436926
1135954,KLIX20121024_120000_V04.gz,8805,KLIX,2012,10,24,12,0,22,-8,-70750,-29750,7288.5
1135955,KLIX20121024_121000_V04.gz,8805,KLIX,2012,10,24,12,10,59,3,-70750,-29750,14252.192813739
1135956,KLIX20121024_122100_V04.gz,8805,KLIX,2012,10,24,12,21,38,14,-70750,-29750,19827.380058899
1135957,KLIX20121024_123200_V04.gz,8805,KLIX,2012,10,24,12,32,16,24,-70750,-25250,19827.5
1135958,KLIX20121024_124200_V04.gz,8805,KLIX,2012,10,24,12,42,54,35,-70750,-25250,26260.712100017
1135957,KLIX20121024_123200_V04.gz,8806,KLIX,2012,10,24,12,32,16,24,-140466,26298,17265.5
1135958,KLIX20121024_124200_V04.gz,8806,KLIX,2012,10,24,12,42,54,35,-140466,26298,22702.025460298
1135959,KLIX20121024_125300_V04.gz,8806,KLIX,2012,10,24,12,53,32,46,-140466,26298,33705.221553938
